session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S01,T03,running_light,non_fall,708498,imu_sample,IDLE,0.271,0.861,-0.077,0.37,3.52,0.43,0.906,0.922,93.84,-16.4,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,708800,imu_sample,IDLE,0.421,0.804,-0.112,7.51,8.76,7.39,0.914,0.872,95.09,-20.38,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,709103,imu_sample,IDLE,0.411,0.844,-0.062,-3.51,8.19,-1.54,0.941,0.979,92.21,-20.71,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,709403,imu_sample,IDLE,0.191,1.169,-0.002,1.46,-17.23,-0.72,1.185,1.262,96.67,-17.43,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,709703,imu_sample,IDLE,0.43,1.231,-0.135,-6.08,22.71,39.97,1.311,1.224,102.75,-25.25,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,710005,imu_sample,IDLE,0.395,0.53,-0.336,-40.89,-17.1,-31.4,0.742,0.713,107.1,-25.01,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,710307,imu_sample,IDLE,0.309,0.517,-0.293,-14.87,-14.1,24.26,0.669,0.681,100.61,-17.72,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,710609,imu_sample,IDLE,0.296,1.141,0.082,24.76,39.09,2.43,1.181,1.301,95.55,-16.44,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,710911,imu_sample,IDLE,0.166,1.682,0.09,106.29,11.19,-22.73,1.693,1.517,105.75,-17.39,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,711213,imu_sample,IDLE,0.277,1.06,-0.114,20.26,39.77,12.69,1.102,0.769,106.99,-24.22,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,711515,imu_sample,IDLE,0.354,0.537,-0.384,-41.1,-11.09,-14.14,0.749,0.773,102.9,-20.94,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,711817,imu_sample,IDLE,0.277,0.84,-0.063,38.85,-76.26,5.63,0.887,0.927,98.06,-18.67,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,712119,imu_sample,IDLE,0.355,1.339,-0.014,34.7,11.17,9.54,1.385,1.548,99.29,-24.15,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,712421,imu_sample,IDLE,0.31,0.572,-0.221,-42.31,-71.56,-32.03,0.688,0.719,106.97,-28.13,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,712720,imu_sample,IDLE,0.307,0.594,-0.192,2.29,-52.11,0.66,0.695,0.735,98.94,-24.82,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,713022,imu_sample,IDLE,0.349,1.048,-0.058,23.79,20.16,-7.62,1.106,1.148,96.94,-19.64,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,713324,imu_sample,IDLE,0.477,1.338,0.09,-1.13,-14.14,4.72,1.424,1.392,99.79,-19.68,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,713627,imu_sample,IDLE,0.578,1.033,-0.192,13.19,80.44,53.08,1.199,1.112,106.56,-21.58,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,713926,imu_sample,IDLE,0.493,0.599,-0.284,-25.62,118.47,19.85,0.826,0.827,102.52,-13.53,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,714228,imu_sample,IDLE,0.508,0.953,-0.134,-19.16,133.49,52.58,1.089,1.129,95.91,-3.42,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,714535,imu_sample,IDLE,0.605,1.063,-0.027,-1.34,41.52,55.99,1.223,1.211,102.68,-4.98,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,714834,imu_sample,IDLE,0.445,0.876,-0.169,-15.94,77.57,-9.8,0.997,1.01,98.73,-13.26,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,715136,imu_sample,IDLE,0.284,0.781,-0.183,-12.4,18.1,13.5,0.851,0.901,97.98,-9,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,715438,imu_sample,IDLE,0.39,1.463,0.119,47.85,61.69,34.76,1.518,1.587,99.73,-15.98,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,715741,imu_sample,IDLE,0.268,0.806,-0.227,-3.15,18.51,-37.07,0.879,0.791,107.75,-20.24,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,716043,imu_sample,IDLE,0.431,0.391,-0.391,-83.57,23.93,31.15,0.701,0.73,110.54,-23.87,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,716344,imu_sample,IDLE,0.347,0.554,-0.259,-11.67,16.3,-2.06,0.703,0.759,100.67,-16.95,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,716646,imu_sample,IDLE,0.183,1.085,0.069,14.3,-20.68,-1.68,1.103,1.186,96.45,-15.19,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,716949,imu_sample,IDLE,0.282,1.548,0.157,-25.45,33.93,26.03,1.581,1.522,107.81,-26.59,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,717251,imu_sample,IDLE,0.389,0.355,-0.346,-54.83,-9.44,-37.74,0.63,0.638,105.72,-24.27,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
S01,T03,running_light,non_fall,717552,imu_sample,IDLE,0.328,0.704,-0.144,30.26,-26.63,25.7,0.79,0.803,98.1,-20.37,115.8,-40.24,0,0,0,0,0,2,45,1500,sample,
