session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S01,T05,sit_hard,non_fall,785699,imu_sample,IDLE,0.312,0.872,0,-0.5,-0.58,1.24,0.927,0.925,89.93,-19.52,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,786001,imu_sample,IDLE,0.32,0.874,-0.016,0.35,-6.02,-0.99,0.931,0.926,90.24,-20.34,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,786303,imu_sample,IDLE,0.322,0.886,-0.012,4.85,2.36,1.04,0.942,0.936,91.35,-20.17,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,786605,imu_sample,IDLE,0.317,0.872,-0.061,2.69,-3.84,9.92,0.93,0.937,92.22,-18.63,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,786904,imu_sample,IDLE,0.339,0.947,-0.088,1.8,24.07,-5.36,1.01,1.016,96.02,-19.98,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,787206,imu_sample,IDLE,0.381,0.907,-0.148,8.76,13.4,-7.88,0.995,0.988,99.13,-20.04,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,787508,imu_sample,IDLE,0.272,0.869,-0.272,5.46,8.5,-3.19,0.95,0.944,104.67,-16.84,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,787810,imu_sample,IDLE,0.432,0.583,-0.338,0.47,-23.13,12.96,0.8,0.807,111.86,-26.61,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,788113,imu_sample,IDLE,0.414,1.557,-0.248,-73.59,49.55,-13.62,1.63,1.339,102.06,-25.43,96.58,-12.33,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,788134,imu_impact,IMPACT_DETECTED,0.35,3.431,-0.292,-62.06,79.14,-62.84,3.461,2.213,100.21,-22.24,100.21,-22.24,0,0,0,0,0,2,45,1500,pending,
S01,T05,sit_hard,non_fall,788414,imu_sample,WAIT_STABILIZE,0.254,1.174,0.607,-156.47,-42.89,-3.05,1.345,1.626,62.81,-20.67,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,788716,imu_sample,WAIT_STABILIZE,0.383,0.932,0.097,40.79,-11.68,2.76,1.012,0.947,69.94,-26.91,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,789019,imu_sample,WAIT_STABILIZE,0.378,0.751,0.193,0.75,7.03,1.19,0.863,0.864,73.52,-23.97,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,789319,imu_sample,WAIT_STABILIZE,0.372,0.793,0.174,4.56,2.18,-0.32,0.893,0.894,76.58,-24.95,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,789620,imu_sample,WAIT_STABILIZE,0.384,0.792,0.189,-0.2,-0.17,1.05,0.9,0.9,77.05,-24.72,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,789753,imu_decision,POSTURE_CHECK,0.388,0.8,0.185,4.56,1.93,1.04,0.908,0.897,77.25,-25.13,100.21,-22.24,77.25,-25.13,22.95,2.89,22.95,2,45,1500,ignored,
S01,T05,sit_hard,non_fall,789923,imu_sample,IDLE,0.394,0.79,0.176,-0.47,-0.63,-0.35,0.901,0.9,77.31,-25.44,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,790222,imu_sample,IDLE,0.374,0.779,0.179,0.82,0.94,-0.14,0.882,0.884,77.14,-24.94,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,790524,imu_sample,IDLE,0.385,0.787,0.172,-1.16,1.19,-0.26,0.893,0.895,77.48,-25.02,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,790824,imu_sample,IDLE,0.38,0.784,0.178,-0.31,-0.39,-0.01,0.889,0.892,77.38,-25.11,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,791126,imu_sample,IDLE,0.385,0.788,0.173,-0.52,1.98,-0.15,0.894,0.89,77.37,-24.97,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,791429,imu_sample,IDLE,0.366,0.797,0.185,10.46,0.7,-0.76,0.896,0.884,77.77,-24.92,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,791731,imu_sample,IDLE,0.367,0.808,0.128,10.87,0.12,0.05,0.896,0.89,80.52,-24.19,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,792034,imu_sample,IDLE,0.374,0.826,0.099,2.17,-0.48,-0.82,0.912,0.918,82.19,-24.23,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,792333,imu_sample,IDLE,0.371,0.82,0.118,-0.92,-0.11,0.28,0.908,0.911,82.41,-24.15,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,792633,imu_sample,IDLE,0.38,0.819,0.103,-0.99,3.46,1.37,0.908,0.914,82.1,-24.11,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,792935,imu_sample,IDLE,0.378,0.818,0.125,-1.76,-0.03,-0.3,0.909,0.914,82.09,-23.89,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,793238,imu_sample,IDLE,0.366,0.822,0.11,2.96,0.53,-0.34,0.906,0.908,82.33,-23.88,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,793540,imu_sample,IDLE,0.368,0.851,0.097,28.44,3.48,-1.77,0.932,0.904,85.29,-23.12,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,793842,imu_sample,IDLE,0.37,0.864,0.014,11.36,-5.36,-1.77,0.94,0.933,89.95,-22.33,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,794144,imu_sample,IDLE,0.332,0.861,-0.053,48.53,-0.71,-0.47,0.924,0.929,95.54,-21.87,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,794446,imu_sample,IDLE,0.348,1.076,-0.361,-5.94,-16.22,-3.48,1.187,1.173,106.27,-21.01,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,794746,imu_sample,IDLE,0.246,1.085,-0.361,-23.39,-69.7,-11.59,1.17,1.178,102.37,-16.82,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,795048,imu_sample,IDLE,0.071,0.496,0.714,299.11,-181.9,-14.79,0.873,0.88,110.21,-11.55,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,795349,imu_sample,IDLE,0.312,0.571,0.302,62.46,-78.43,6.29,0.718,0.808,102.93,-21.95,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,795652,imu_sample,IDLE,0.333,0.852,-0.106,0.69,-4.58,-7.11,0.921,0.901,96.68,-22.07,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T05,sit_hard,non_fall,795954,imu_sample,IDLE,0.322,0.91,-0.103,1.91,8.39,-2.23,0.971,0.971,97.09,-20.36,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
