session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S01,T07,side_fall_right,fall,899564,imu_sample,IDLE,0.382,0.895,-0.056,-2.49,-1.7,-0.03,0.975,0.976,93.57,-23.23,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,899865,imu_sample,IDLE,0.391,0.901,-0.055,-0.31,1.46,0.78,0.984,0.981,93.56,-23.19,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,900167,imu_sample,IDLE,0.382,0.889,-0.045,-0.64,1.69,0.54,0.969,0.97,93.11,-23.15,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,900469,imu_sample,IDLE,0.358,0.884,-0.048,-0.11,3.08,3.05,0.955,0.966,92.89,-22.38,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,900768,imu_sample,IDLE,0.383,0.888,-0.051,-0.37,-4.48,1.05,0.968,0.971,93.14,-23.07,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,901070,imu_sample,IDLE,0.49,0.902,-0.071,3.02,-3.47,0.54,1.029,1.024,93.25,-26.99,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,901373,imu_sample,IDLE,0.455,0.908,-0.054,5.62,0.27,0.52,1.017,1.011,93.9,-27.44,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,901672,imu_sample,IDLE,0.414,0.9,-0.073,1.45,-0.03,-4.18,0.993,0.994,94.55,-25.38,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,901975,imu_sample,IDLE,0.293,0.919,-0.071,4.11,-6.75,-7.69,0.967,0.969,95.49,-20.75,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,902277,imu_sample,IDLE,0.306,0.878,-0.062,-6.15,5.37,7.76,0.932,0.936,93.55,-18.23,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,902579,imu_sample,IDLE,0.383,0.89,-0.059,1.5,-5.1,6.31,0.97,0.964,93.86,-21.75,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,902879,imu_sample,IDLE,0.476,0.893,-0.081,3.31,-0.32,8.55,1.015,1.011,94.93,-26.21,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,903182,imu_sample,IDLE,0.435,0.843,-0.092,2.9,-2.94,10.63,0.953,0.964,95.91,-27.43,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,903481,imu_sample,IDLE,0.344,0.451,-0.27,4.59,41.22,15.12,0.628,0.659,109.91,-30.7,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,903781,imu_sample,IDLE,0.594,0.712,-0.293,-46.81,51.51,165.05,0.972,0.839,113.46,-28.31,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,903876,imu_impact,IMPACT_DETECTED,1.264,2.349,0.03,-65.63,217.08,207.42,2.668,2.092,103.78,-15.89,103.78,-15.89,0,0,0,0,0,2,45,1500,pending,
S01,T07,side_fall_right,fall,904084,imu_sample,WAIT_STABILIZE,1.447,-0.771,0.937,-35.76,-187.65,63.65,1.888,1.267,10.72,-41.18,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,904384,imu_sample,WAIT_STABILIZE,0.761,-0.229,0.558,46.08,-24.75,-23.68,0.971,0.903,-39.21,-45.44,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,904684,imu_sample,WAIT_STABILIZE,1.047,-0.3,0.525,-27.71,-32.29,-28.3,1.209,1.173,-18.76,-55.27,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,904984,imu_sample,WAIT_STABILIZE,1.311,-0.187,0.39,14,10.04,-4.81,1.381,1.46,-21.46,-68.51,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,905285,imu_sample,WAIT_STABILIZE,0.881,-0.204,0.507,-10.18,22.99,12.18,1.037,1.049,-18.76,-61.79,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,905502,imu_decision,POSTURE_CHECK,0.938,-0.17,0.507,-1.71,-4.91,-3.17,1.079,1.072,-21.49,-59.32,103.78,-15.89,-21.49,-59.32,125.26,43.42,125.26,2,45,1500,suspected_fall,
S01,T07,side_fall_right,fall,920513,imu_sample,IDLE,0.94,-0.206,0.5,-0.81,-0.31,0.08,1.085,1.078,-21.05,-60.15,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,920813,imu_sample,IDLE,0.94,-0.2,0.496,-0.18,-0.61,0.05,1.081,1.081,-21.14,-60.3,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
S01,T07,side_fall_right,fall,921113,imu_sample,IDLE,0.941,-0.198,0.503,0.69,-0.25,0.05,1.085,1.083,-21.09,-60.08,103.78,-15.89,0,0,0,0,0,2,45,1500,sample,
