session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T02,walking_normal,non_fall,1395013,imu_sample,IDLE,0.444,0.882,0.018,0.11,3.11,-0.59,0.988,0.988,89.97,-27.56,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1395313,imu_sample,IDLE,0.413,0.875,0.016,0.84,-0.45,-1.72,0.968,0.964,89.32,-26.04,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1395616,imu_sample,IDLE,0.412,0.92,-0.01,7.62,0.26,-0.93,1.008,0.999,90.29,-25.51,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1395915,imu_sample,IDLE,0.437,0.839,-0.031,-6.54,8.88,4.46,0.946,0.947,91.76,-24.81,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1396218,imu_sample,IDLE,0.419,0.832,-0.029,2.01,-1.61,1.02,0.932,0.927,90.86,-24.94,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1396519,imu_sample,IDLE,0.555,0.863,-0.156,-16.4,19.31,26.31,1.037,1.016,91.57,-28.23,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1396822,imu_sample,IDLE,0.526,0.866,0.018,6.7,0.01,-6.67,1.013,1.016,91.77,-29.51,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1397121,imu_sample,IDLE,0.411,0.87,-0.137,-5.3,-0.43,-11.01,0.972,1.002,90.17,-28.2,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1397424,imu_sample,IDLE,0.402,0.819,-0.044,9.2,-19.74,4.79,0.913,0.901,96.62,-27.25,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1397725,imu_sample,IDLE,0.586,1.07,-0.027,-16.95,-6.19,23.45,1.22,1.288,88.17,-25.01,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1398025,imu_sample,IDLE,0.513,0.819,-0.022,3.42,37.25,-3.51,0.967,0.957,95.7,-25.64,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1398327,imu_sample,IDLE,0.473,0.871,0.091,-3.48,38.12,1.15,0.995,1.179,83.08,-26.4,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1398627,imu_sample,IDLE,0.297,0.818,-0.05,-1.39,22.96,28.75,0.871,0.901,97.38,-21.58,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1398929,imu_sample,IDLE,0.429,0.987,0.076,-26.12,20.45,22.81,1.079,1.016,86.5,-20.43,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1399232,imu_sample,IDLE,0.634,0.883,-0.048,31.57,100.39,29.36,1.088,1.114,96.87,-24.7,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1399535,imu_sample,IDLE,0.542,1.195,0.085,-12.69,23.32,-17.63,1.315,1.158,90.21,-26.43,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1399835,imu_sample,IDLE,0.46,0.874,-0.104,-15.01,70.06,40.84,0.993,1.048,96.7,-18.87,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1400136,imu_sample,IDLE,0.327,0.898,-0.103,-17.63,106.77,54.86,0.961,0.985,94.78,-8.72,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1400438,imu_sample,IDLE,0.85,0.839,-0.071,18.5,96.84,55.34,1.196,1.201,100.54,-21.52,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1400738,imu_sample,IDLE,0.808,0.841,-0.061,29.82,61.49,-3.22,1.168,1.171,99.97,-30.53,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1401041,imu_sample,IDLE,0.551,0.936,-0.141,14.24,27.22,-20,1.095,1.194,99.61,-30.9,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1401342,imu_sample,IDLE,0.428,0.9,-0.235,1.34,25.68,2.11,1.024,1.023,104.67,-21.64,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1401641,imu_sample,IDLE,0.552,0.934,-0.14,5.07,34.76,24.21,1.094,1.085,102,-23.74,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1401944,imu_sample,IDLE,0.738,0.965,-0.217,-42.26,37.29,3.63,1.234,1.257,103.94,-27.18,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1402244,imu_sample,IDLE,0.656,0.846,-0.059,-0.2,12.85,-15.1,1.072,1.071,100.71,-31.89,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1402546,imu_sample,IDLE,0.399,0.777,-0.33,4.66,-18.39,-30.4,0.934,0.936,98.41,-31.56,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1402848,imu_sample,IDLE,0.45,0.84,-0.097,-2.12,-19.94,16.58,0.958,0.973,99.73,-29.19,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1403150,imu_sample,IDLE,0.601,0.85,-0.219,7.74,-14.63,21.59,1.064,1.115,94.22,-30.24,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1403450,imu_sample,IDLE,0.507,0.865,-0.072,-7.96,-31.12,-22.37,1.005,1.01,98.85,-34.76,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1403752,imu_sample,IDLE,0.337,0.873,-0.161,28.04,-49.03,-47.46,0.95,1.053,92.21,-33.03,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1404055,imu_sample,IDLE,0.368,0.849,-0.123,7.65,-75.79,-9.46,0.933,0.924,101.04,-33.74,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1404357,imu_sample,IDLE,0.557,0.729,-0.239,14.81,8.53,45.5,0.948,1.098,96.32,-29.92,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1404656,imu_sample,IDLE,0.479,0.848,-0.084,-8.96,-3.64,-9.43,0.978,0.983,98.88,-31.31,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1404958,imu_sample,IDLE,0.471,0.787,-0.209,30.08,-57.61,-34.41,0.941,0.989,93.84,-31.1,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1405258,imu_sample,IDLE,0.412,0.832,-0.075,11.04,-76,-12.53,0.932,0.922,99.3,-36.25,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T02,walking_normal,non_fall,1405560,imu_sample,IDLE,0.623,0.621,-0.264,22.91,17.6,32.14,0.919,0.952,96.34,-33.83,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
