session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T04,sit_normal,non_fall,1455279,imu_sample,IDLE,0.4,0.895,-0.022,14.96,15.11,3.68,0.98,0.975,92.15,-23.46,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1455582,imu_sample,IDLE,0.377,0.902,-0.039,-2.89,6.8,3.15,0.979,0.984,92.72,-22.08,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1455884,imu_sample,IDLE,0.386,0.898,-0.038,3.88,-1.58,-1.22,0.978,0.971,92.82,-23.08,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1456186,imu_sample,IDLE,0.38,0.899,-0.082,5.33,-4.19,-0.01,0.98,0.968,93.97,-23.47,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1456486,imu_sample,IDLE,0.386,0.8,-0.223,11.88,10.03,-9.45,0.916,0.901,101.99,-24.18,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1456789,imu_sample,IDLE,0.332,0.846,-0.342,8,13.69,1.36,0.971,0.946,112.46,-20.12,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1457090,imu_sample,IDLE,0.246,1.185,-0.352,-51.24,-2.69,-7.02,1.261,1.261,105.01,-16.78,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1457392,imu_sample,IDLE,0.379,0.701,-0.096,-207.51,-5.82,10.31,0.803,0.669,90.18,-23.02,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1457692,imu_sample,IDLE,0.428,0.676,0.119,-13.85,3.81,3.45,0.809,0.777,65.91,-29.98,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1457991,imu_sample,IDLE,0.46,0.837,0.151,7.27,1.52,0.64,0.967,0.979,78.88,-28.31,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1458294,imu_sample,IDLE,0.454,0.823,0.122,1.31,2.84,-0.29,0.948,0.948,81.13,-27.49,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1458593,imu_sample,IDLE,0.46,0.817,0.12,0.93,-0.26,0.15,0.945,0.944,81.63,-28.49,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1458896,imu_sample,IDLE,0.464,0.833,0.117,-1.33,-0.68,-1.65,0.961,0.961,81.85,-28.48,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1459198,imu_sample,IDLE,0.454,0.819,0.102,1.07,-1.2,-0.04,0.942,0.945,82.45,-28.34,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1459497,imu_sample,IDLE,0.444,0.828,0.116,-2.11,-1.01,0.47,0.947,0.953,82.6,-28.33,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1459798,imu_sample,IDLE,0.452,0.825,0.105,0.59,-0.74,0.03,0.946,0.952,82.39,-28.56,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1460100,imu_sample,IDLE,0.454,0.835,0.117,0.93,1.87,0.76,0.957,0.961,82.66,-28.7,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1460401,imu_sample,IDLE,0.46,0.829,0.109,-0.44,-0.97,0.31,0.954,0.953,82.57,-28.57,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1460704,imu_sample,IDLE,0.453,0.824,0.094,-3.97,-2.14,0.38,0.945,0.954,82.67,-28.63,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1461003,imu_sample,IDLE,0.458,0.831,0.102,0.24,-0.89,0,0.955,0.958,82.96,-28.61,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1461305,imu_sample,IDLE,0.451,0.837,0.1,-0.75,0.39,0.37,0.956,0.959,83.18,-28.59,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1461606,imu_sample,IDLE,0.458,0.836,0.074,-7.82,1.57,0.02,0.956,0.954,83.17,-28.55,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1461906,imu_sample,IDLE,0.46,0.828,0.108,3.5,0.19,0.03,0.953,0.955,82.75,-28.87,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1462208,imu_sample,IDLE,0.455,0.835,0.096,-0.14,1.39,-0.12,0.955,0.957,83.38,-28.44,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
S02,T04,sit_normal,non_fall,1462508,imu_sample,IDLE,0.46,0.839,0.095,-0.03,0.51,0.18,0.961,0.958,83.24,-28.58,105.3,-24.18,0,0,0,0,0,2,45,1500,sample,
