session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T06,side_fall_left,fall,1501078,imu_sample,IDLE,0.341,0.89,-0.029,11.01,3.11,-3.62,0.954,0.942,91.8,-22.09,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1501378,imu_sample,IDLE,0.317,0.884,-0.01,-3.18,7.09,7.01,0.939,0.941,91.54,-18.27,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1501680,imu_sample,IDLE,0.39,0.873,-0.03,-2.2,2.85,2.55,0.957,0.961,91.25,-21.9,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1501980,imu_sample,IDLE,0.462,0.89,-0.017,0.62,-3.62,4.63,1.003,1.003,91.3,-26.25,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1502283,imu_sample,IDLE,0.504,0.875,0.001,0.27,-6.49,-2.72,1.01,1.015,90.91,-29.85,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1502582,imu_sample,IDLE,0.48,0.876,-0.029,3.59,-2.2,-6.12,1,1.003,90.99,-29.91,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1502882,imu_sample,IDLE,0.422,0.844,-0.021,4,-3.65,-13.31,0.944,0.948,91.19,-28.15,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1503185,imu_sample,IDLE,0.355,0.84,-0.032,-0.34,-4.75,-14.7,0.912,0.92,91.59,-24.14,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1503486,imu_sample,IDLE,0.411,0.607,-0.174,-4.37,-44.84,-15.89,0.753,0.763,98.03,-31.51,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1503787,imu_sample,IDLE,0.68,0.623,-0.376,1.91,38.18,-30.87,0.995,0.933,117.74,-46.35,101.49,-18.02,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1503941,imu_impact,IMPACT_DETECTED,0.689,2.238,-0.066,-82.02,-261.24,-250.87,2.343,2.004,108.3,-45.62,108.3,-45.62,0,0,0,0,0,2,45,1500,pending,
S02,T06,side_fall_left,fall,1504089,imu_sample,WAIT_STABILIZE,0.417,-0.805,0.173,-330.32,50.24,-213.68,0.923,0.697,-11.43,-33.14,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1504391,imu_sample,WAIT_STABILIZE,1.075,-1.225,0.215,246.21,51.69,-127.82,1.644,1.384,-86.9,-27.74,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1504691,imu_sample,WAIT_STABILIZE,0.53,-0.232,0.657,-17.36,61.2,11.08,0.876,0.928,-37.08,-38.01,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1504993,imu_sample,WAIT_STABILIZE,0.204,-0.568,0.511,-0.06,15,64.46,0.791,0.847,-45.85,-18.46,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1505294,imu_sample,WAIT_STABILIZE,0.039,-0.276,0.203,104.56,-90.6,8.11,0.344,0.278,-57.53,-4.17,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1505554,imu_decision,POSTURE_CHECK,0.463,-0.399,0.309,-1.27,18.65,-22.7,0.685,0.695,-50.34,-27.13,108.3,-45.62,-50.34,-27.13,158.64,18.49,158.64,2,45,1500,suspected_fall,
S02,T06,side_fall_left,fall,1520566,imu_sample,IDLE,0.297,-0.532,0.509,-1.5,3.16,0.5,0.794,0.786,-47.15,-22.23,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1520868,imu_sample,IDLE,0.31,-0.541,0.504,-0.09,-3.41,-0.66,0.802,0.806,-46.86,-22.79,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T06,side_fall_left,fall,1521169,imu_sample,IDLE,0.326,-0.545,0.509,-0.52,-1.61,-0.64,0.814,0.809,-46.82,-23.63,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
