session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T09,backward_fall,fall,1705697,imu_sample,IDLE,0.444,0.844,0.066,0.61,-1.49,-0.21,0.956,0.963,85.95,-27.56,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1706000,imu_sample,IDLE,0.448,0.849,0.073,0.5,0.22,-1.65,0.963,0.957,85.71,-27.55,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1706299,imu_sample,IDLE,0.448,0.855,0.05,-2.09,1.31,-0.11,0.966,0.96,86.02,-27.26,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1706602,imu_sample,IDLE,0.436,0.862,0.056,1.1,-0.66,0.23,0.968,0.963,86.19,-27.32,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1706901,imu_sample,IDLE,0.448,0.86,0.063,-0.61,-0.61,-0.88,0.971,0.967,86.33,-27.68,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1707204,imu_sample,IDLE,0.441,0.856,0.047,1.46,0.67,0.09,0.964,0.968,87.11,-27.44,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1707507,imu_sample,IDLE,0.437,0.874,0.017,5.86,-0.57,-0.18,0.978,0.965,88.45,-26.81,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1707806,imu_sample,IDLE,0.433,0.871,-0.005,5.62,0.82,-1.34,0.972,0.97,90.25,-26.46,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1708106,imu_sample,IDLE,0.43,0.854,-0.093,3.86,-1,-0.11,0.961,0.957,94.08,-26.26,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1708406,imu_sample,IDLE,0.445,0.78,-0.159,-12.26,-2.54,2.26,0.912,0.919,97.25,-27.56,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1708706,imu_sample,IDLE,0.496,0.588,-0.164,-9.99,-12.29,3.24,0.786,0.8,101.64,-34.01,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1709006,imu_sample,IDLE,0.433,0.637,-0.453,-149.1,77.45,25.77,0.893,0.812,100.3,-23.18,7.58,-46.22,0,0,0,0,0,2,45,1500,sample,
S02,T09,backward_fall,fall,1709113,imu_impact,IMPACT_DETECTED,0.597,3.159,0.59,340.52,-193.87,-14.24,3.269,2.157,95.36,-24.16,95.36,-24.16,0,0,0,0,0,2,45,1500,pending,
S02,T09,backward_fall,fall,1709308,imu_sample,WAIT_STABILIZE,0.435,-0.198,-0.212,7.4,-6.54,-44.3,0.523,0.555,-68.06,-36.39,95.36,-24.16,0,0,0,0,0,2,45,1500,sample,
